timestamp(ms),GPS[0].Lat,GPS[0].Lng,BARO[0].AltAMSL,ARSP[0].Airspeed,GPS[0].Spd,CTUN.As
587601.0611260935,527828836,-7088082,176.18199157714844,13.673467636108398,15.244000434875488,12.862642288208008
587701.0611260935,527829066,-7088332,176.8180389404297,13.889622688293457,15.367000579833984,13.111156463623047
587801.0611260935,527829066,-7088332,177.36048889160156,13.787972450256348,15.367000579833984,13.349464416503906
587901.0611260935,527829299,-7088580,177.8203125,14.201870918273926,15.540000915527344,13.482514381408691
588001.0611260935,527829299,-7088580,178.07638549804688,14.236788749694824,15.540000915527344,13.702286720275879
588101.0611260935,527829534,-7088828,178.22232055664062,14.230976104736328,15.552000999450684,13.864801406860352
588201.0611260935,527829534,-7088828,177.80929565429688,14.078977584838867,15.552000999450684,13.975661277770996
588301.0611260935,527829769,-7089076,177.15121459960938,14.265820503234863,15.562000274658203,14.006735801696777
588401.0611260935,527829769,-7089076,176.66384887695312,14.329484939575195,15.562000274658203,14.084961891174316
588501.0611260935,527830005,-7089329,176.0608367919922,14.323710441589355,15.855000495910645,14.15876293182373
588601.0611260935,527830005,-7089329,175.6781005859375,13.249317169189453,15.855000495910645,14.20844841003418
588701.0611260935,527830244,-7089595,175.84056091308594,11.746331214904785,16.336000442504883,13.927645683288574
588801.0611260935,527830244,-7089595,175.94244384765625,12.370800018310547,16.336000442504883,13.31083869934082
588901.0611260935,527830482,-7089883,175.63128662109375,12.71387767791748,16.499000549316406,13.0359468460083
589001.0611260935,527830482,-7089883,175.4881134033203,12.550104141235352,16.499000549316406,12.940167427062988
589101.0611260935,527830705,-7090196,175.36695861816406,12.503864288330078,16.131999969482422,12.824394226074219
589201.0611260935,527830705,-7090196,175.55970764160156,13.7699556350708,16.131999969482422,12.729083061218262
589301.0611260935,527830909,-7090532,176.02780151367188,14.421587944030762,16.052000045776367,13.050065040588379
589401.0611260935,527830909,-7090532,176.3802490234375,14.329484939575195,16.052000045776367,13.476186752319336
589501.0611260935,527831100,-7090885,176.8621063232422,14.507399559020996,15.93600082397461,13.73774242401123
589601.0611260935,527831100,-7090885,177.1126708984375,14.575689315795898,15.93600082397461,13.973091125488281
589701.0611260935,527831286,-7091245,177.3962860107422,14.632349967956543,16.10500144958496,14.156564712524414
589801.0611260935,527831286,-7091245,177.6193084716797,14.541584014892578,16.10500144958496,14.300962448120117
589901.0611260935,527831473,-7091609,177.7872772216797,14.895774841308594,16.18800163269043,14.373571395874023
590001.0611260935,527831473,-7091609,177.8643798828125,14.989917755126953,16.18800163269043,14.53220272064209
590101.0611260935,527831659,-7091973,177.98277282714844,15.187344551086426,16.10500144958496,14.671016693115234
590201.0611260935,527831659,-7091973,177.9221954345703,15.360709190368652,16.10500144958496,14.827802658081055
590301.0611260935,527831841,-7092336,177.81480407714844,15.247161865234375,15.831000328063965,14.989664077758789
590401.0611260935,527831841,-7092336,177.51742553710938,14.923526763916016,15.831000328063965,15.067375183105469
590501.0611260935,527832014,-7092709,176.8951416015625,14.66624641418457,15.827000617980957,15.024364471435547
590601.0611260935,527832014,-7092709,176.65008544921875,15.011980056762695,15.827000617980957,14.917832374572754
590701.0611260935,527832162,-7093102,176.65834045410156,14.236788749694824,15.661001205444336,14.946139335632324
590801.0611260935,527832162,-7093102,176.6941375732422,13.799970626831055,15.661001205444336,14.736919403076172
590901.0611260935,527832278,-7093517,176.60052490234375,14.410107612609863,15.36400032043457,14.462209701538086
591001.0611260935,527832278,-7093517,176.6555938720703,15.214564323425293,15.36400032043457,14.446599006652832
591101.0611260935,527832358,-7093937,177.4210662841797,14.812213897705078,14.510000228881836,14.681206703186035
591201.0611260935,527832358,-7093937,178.21681213378906,14.711309432983398,14.510000228881836,14.72063159942627
591301.0611260935,527832407,-7094344,178.3544921875,13.379834175109863,13.669000625610352,14.717835426330566
591401.0611260935,527832407,-7094344,178.1397247314453,14.049558639526367,13.669000625610352,14.329559326171875
591501.0611260935,527832441,-7094734,178.22508239746094,14.444520950317383,12.886000633239746,14.246135711669922
591601.0611260935,527832441,-7094734,178.50868225097656,13.606738090515137,12.886000633239746,14.305940628051758
591701.0611260935,527832481,-7095112,178.92721557617188,14.16686725616455,13.071001052856445,14.099821090698242
591801.0611260935,527832481,-7095112,180.11122131347656,14.6380033493042,13.071001052856445,14.119967460632324
591901.0611260935,527832521,-7095482,180.67018127441406,15.4680757522583,12.41100025177002,14.277351379394531
592001.0611260935,527832521,-7095482,180.0974578857422,14.867969512939453,12.41100025177002,14.64473819732666
592101.0611260935,527832560,-7095841,179.19430541992188,14.061333656311035,12.22900104522705,14.712063789367676
592201.0611260935,527832560,-7095841,178.3957977294922,14.294795989990234,12.22900104522705,14.519906997680664
592301.0611260935,527832596,-7096196,177.3962860107422,14.055447578430176,12.046000480651855,14.452741622924805
592401.0611260935,527832596,-7096196,176.80978393554688,13.637109756469727,12.046000480651855,14.334710121154785
592501.0611260935,527832621,-7096553,176.47109985351562,12.77231502532959,12.408000946044922,14.129046440124512
